COUNTRY_NAME_AR,MISSION_NAME_AR,STATION_NAME,STATION_ADDRESS,ROOM_SEQ,STATION_ROOM
الولايات المتحدة الأميركية,"سفارة لبنان لدى الولايات المتحدة الأميركية, واشنطن",Embassy of Lebanon,"Embassy Residence- 2841 McGill Terrace NW, Washington, DC, 20008",6,Embassy of Lebanon - غرفة رقم 5
دولة الإمارات العربية المتحدة,مبنى دار السكن - بر دبي - ام هرير 1 شارع رقم 3,مركز انتخابي 2- دار السكن في قنصلية لبنان العامة دبي,مبنى القنصلية العامة في دبي- بر دبي - ام هرير 1 شارع رقم 3,43,مركز انتخابي 2- دار السكن في قنصلية لبنان العامة دبي غرفة رقم 8
دولة الإمارات العربية المتحدة,"سفارة لبنان لدى دولة الإمارات العربية المتحدة, ابو ظبي",السفارة اللبنانية في أبو ظبي,مبنى السفارة اللبنانية في أبو ظبي- شارع رشيد بن سعيد المكتوم - منطقة السفارات-صندوق بريد 4023,1,السفارة اللبنانية في أبو ظبي - غرفة رقم 1
دولة الإمارات العربية المتحدة,"قنصلية لبنان العامة في دولة الإمارات العربية المتحدة, دبي",مركز انتخابي 1 - قنصلية لبنان العامة في دبي,مبنى القنصلية العامة في دبي- بر دبي - ام هرير 1 شارع رقم 3,27,مركز انتخابي 1 - قنصلية لبنان العامة في دبي - غرفة رقم 12
الولايات المتحدة الأميركية,"قنصلية لبنان العامة في الولايات المتحدة الأميركية, لوس انجلس",HOUSE OF LEBANON,"4800 Wilshire Blvd., Los Angeles, Ca 90005",41,HOUSE OF LEBANON - غرفة رقم 2
لوكسمبورغ,"سفارة لبنان لدى مملكة بلجيكا, بروكسل",Immeuble Central Parc,"Boulevard Prince Henri ,31 Luxembourg L-1724",1,Immeuble Central Parc
دولة قطر,"سفارة لبنان لدى دولة قطر, الدوحة",المدرسة اللبنانية في قطر,مبنى المدرسة اللبنانية - قطر- الدوحة - عنيزة رقم 63 - شارع الأمم المتحدة رقم 940 مبنى رقم 59,7,المدرسة اللبنانية في قطر - غرفة رقم 7
دولة الإمارات العربية المتحدة,مبنى دار السكن - بر دبي - ام هرير 1 شارع رقم 3,مركز انتخابي 2- دار السكن في قنصلية لبنان العامة دبي,مبنى القنصلية العامة في دبي- بر دبي - ام هرير 1 شارع رقم 3,40,مركز انتخابي 2- دار السكن في قنصلية لبنان العامة دبي غرفة رقم 5
كندا,"قنصلية لبنان لدى كندا, مونتريال",LEcole armenienne Sourp Hagop,"3400 Rue Nadon, Montreal, Quebec, H4J 1P6",71,LEcole armenienne Sourp Hagop - غرفة رقم 16
دولة الكويت,"سفارة لبنان لدى دولة الكويت, الكويت",السفارة اللبنانية في الكويت,مبنى السفارة اللبنانية في الكويت - الدعية - منطقة السفارات - قطعة 5 - شارع اليمن - مبنى رقم 6,12,السفارة اللبنانية في الكويت - غرفة رقم 12
كندا,"قنصلية لبنان لدى كندا, مونتريال",LEcole armenienne Sourp Hagop,"3400 Rue Nadon, Montreal, Quebec, H4J 1P6",70,LEcole armenienne Sourp Hagop - غرفة رقم 15
المملكة المتحدة لبريطانيا العظمة وإيرلندا الشمالية,"سفارة لبنان لدى المملكة المتحدة لبريطانيا العظمة وإيرلندا الشمالية, لندن",القنصلية العامة في لندن,"15 Palace Garden Mews, London, W8 4RB - مبنى القنصلية العام",6,القنصلية العامة في لندن - غرفة رقم 2
كندا,"سفارة لبنان لدى كندا, اوتاوا",Armenian Community Center,"45 Hallcrown Pl, Toronto, ON, M2J 4Y4",5,Armenian Community Center - غرفة رقم 5
كندا,"قنصلية لبنان لدى كندا, مونتريال",LEcole armenienne Sourp Hagop,"3400 Rue Nadon, Montreal, Quebec, H4J 1P6",66,LEcole armenienne Sourp Hagop - غرفة رقم 11
كندا,"قنصلية لبنان لدى كندا, مونتريال",LEcole armenienne Sourp Hagop,"3400 Rue Nadon, Montreal, Quebec, H4J 1P6",59,LEcole armenienne Sourp Hagop - غرفة رقم 4
المملكة المتحدة لبريطانيا العظمة وإيرلندا الشمالية,"سفارة لبنان لدى المملكة المتحدة لبريطانيا العظمة وإيرلندا الشمالية, لندن",القنصلية العامة في لندن,"15 Palace Garden Mews, London, W8 4RB - مبنى القنصلية العام",7,القنصلية العامة في لندن - غرفة رقم 3
سلطنة عمان,"سفارة لبنان لدى سلطنة عمان, مسقط",المدرسة العُمانية العالميةInternational School of Oman- ISO,مبنى المدرسة العمانية العالمية- مسقط- بوشر- شارع المها- قرب مركز بوشر الصحي، رقم المبنى 1/21,2,المدرسة العُمانية العالميةInternational School of Oman- ISO - غرفة رقم 2
الولايات المتحدة الأميركية,"سفارة لبنان لدى الولايات المتحدة الأميركية, واشنطن",Embassy of Lebanon,"Embassy Residence- 2841 McGill Terrace NW, Washington, DC, 20008",4,Embassy of Lebanon - غرفة رقم 3
دولة الإمارات العربية المتحدة,"سفارة لبنان لدى دولة الإمارات العربية المتحدة, ابو ظبي",السفارة اللبنانية في أبو ظبي,مبنى السفارة اللبنانية في أبو ظبي- شارع رشيد بن سعيد المكتوم - منطقة السفارات-صندوق بريد 4023,7,السفارة اللبنانية في أبو ظبي - غرفة رقم 7
دولة الإمارات العربية المتحدة,"قنصلية لبنان العامة في دولة الإمارات العربية المتحدة, دبي",مركز انتخابي 1 - قنصلية لبنان العامة في دبي,مبنى القنصلية العامة في دبي- بر دبي - ام هرير 1 شارع رقم 3,30,مركز انتخابي 1 - قنصلية لبنان العامة في دبي - غرفة رقم 15
الولايات المتحدة الأميركية,"قنصلية لبنان العامة في الولايات المتحدة الأميركية, لوس انجلس",HOUSE OF LEBANON,"4800 Wilshire Blvd., Los Angeles, Ca 90005",40,HOUSE OF LEBANON - غرفة رقم 1
الولايات المتحدة الأميركية,"قنصلية لبنان العامة في الولايات المتحدة الأميركية, نيويورك",Saint Maron Hall,"1013 Ellsworth Street, Philadelphia PA 19147",58,Saint Maron Hall - غرفة رقم 1
كندا,"سفارة لبنان لدى كندا, اوتاوا",Armenian Community Center,"45 Hallcrown Pl, Toronto, ON, M2J 4Y4",1,Armenian Community Center - غرفة رقم 1
جمهورية مصر العربية,"سفارة لبنان لدى جمهورية مصر العربية, القاهرة",السفارة اللبنانية في القاهرة,مبنى السفارة اللبنانية - مبنى22، شارع المنصور محمد، الزمالك، القاهرة,1,السفارة اللبنانية في القاهرة
الإتحاد السويسري,"سفارة لبنان لدى الإتحاد السويسري, برن",Quartierzentrum Wittigkofen,"Jupiterstrasse 15, 3015 Bern",6,Quartierzentrum Wittigkofen
دولة قطر,"سفارة لبنان لدى دولة قطر, الدوحة",المدرسة اللبنانية في قطر,مبنى المدرسة اللبنانية - قطر- الدوحة - عنيزة رقم 63 - شارع الأمم المتحدة رقم 940 مبنى رقم 59,14,المدرسة اللبنانية في قطر - غرفة رقم 14
المملكة العربية السعودية,"سفارة لبنان لدى المملكة العربية السعودية, الرياض",السفارة اللبنانية في الرياض,مبنى السفارة اللبنانية في الرياض-  حي السفارات - شارع ابي بكر الكرخى,15,السفارة اللبنانية في الرياض - غرفة رقم 15
الجمهورية التركية,"قنصلية لبنان العامة في الجمهورية التركية, اسطنبول",Macka Mesleki ve Teknik Anadolu Lisesi,Harbiye Mah. Macka Cad. No :10 Sisli/Istanbul,1,Macka Mesleki ve Teknik Anadolu Lisesi - غرفة رقم 1
كندا,"سفارة لبنان لدى كندا, اوتاوا",St. Elias Cathedral,"700 Ridgewood Av., Ottawa, ON, K1V 6N1",30,St. Elias Cathedral - غرفة رقم 1
جمهورية هنغاريا,"سفارة لبنان لدى جمهورية هنغاريا, بودابست",السفارة اللبنانية في بودابست,بودابست - المجر مبنى السفارة - 1112-Sasadi ut 160,1,السفارة اللبنانية في بودابست
الولايات المتحدة الأميركية,"قنصلية لبنان العامة في الولايات المتحدة الأميركية, لوس انجلس",Glendale ST Mary Armenian Church,500 S Central Armenian Apostolic Church,35,Glendale ST Mary Armenian Church
الولايات المتحدة الأميركية,"قنصلية لبنان العامة في الولايات المتحدة الأميركية, نيويورك",The Cedars Center,"65 Rockwood Street, Jamaica Plain, MA 02130",68,The Cedars Center - غرفة رقم 6
دولة الإمارات العربية المتحدة,مبنى دار السكن - بر دبي - ام هرير 1 شارع رقم 3,مركز انتخابي 2- دار السكن في قنصلية لبنان العامة دبي,مبنى القنصلية العامة في دبي- بر دبي - ام هرير 1 شارع رقم 3,51,مركز انتخابي 2- دار السكن في قنصلية لبنان العامة دبي غرفة رقم 16
دولة الكويت,"سفارة لبنان لدى دولة الكويت, الكويت",السفارة اللبنانية في الكويت,مبنى السفارة اللبنانية في الكويت - الدعية - منطقة السفارات - قطعة 5 - شارع اليمن - مبنى رقم 6,2,السفارة اللبنانية في الكويت - غرفة رقم 2
الكاميرون,"سفارة لبنان لدى الجمهورية الغابونية, ليبرفيل",القنصلية اللبنانية الفخرية في الكاميرون,Lebanese Honorary Consulate- 1- Zone portuaire - Base Navale Douala - Cameroun,1,القنصلية اللبنانية الفخرية في الكاميرون
كندا,"قنصلية لبنان لدى كندا, مونتريال",LEcole armenienne Sourp Hagop,"3400 Rue Nadon, Montreal, Quebec, H4J 1P6",64,LEcole armenienne Sourp Hagop - غرفة رقم 9
كندا,"سفارة لبنان لدى كندا, اوتاوا",Evergreen Cultural Center,"1205 Pinetree Way, Coquitlam, BC, V3B 7Y3",16,Evergreen Cultural Center - غرفة رقم 1
دولة الكويت,"سفارة لبنان لدى دولة الكويت, الكويت",السفارة اللبنانية في الكويت,مبنى السفارة اللبنانية في الكويت - الدعية - منطقة السفارات - قطعة 5 - شارع اليمن - مبنى رقم 6,13,السفارة اللبنانية في الكويت - غرفة رقم 13
المملكة العربية السعودية,"قنصلية لبنان العامة في المملكة العربية السعودية, جدة",القنصلية العامة في جدة,3767 مبنى القنصلية العامة في جدة- شارع إبراهيم العنقري- حي المحمدية- جدة 23617,28,القنصلية العامة في جدة - غرفة رقم 8
الولايات المتحدة الأميركية,"قنصلية لبنان العامة في الولايات المتحدة الأميركية, لوس انجلس",Orange The Islamic Center Anaheim,"1136 N. Brookhurst St. Anaheim, Ca 92801",45,Orange The Islamic Center Anaheim - غرفة رقم 1
الولايات المتحدة الأميركية,"سفارة لبنان لدى الولايات المتحدة الأميركية, واشنطن",Jacksonville Marriott Hotel,"Jacksonville Marriott-4670 Salisbury Rd, Jacksonville, Florida 32256",10,Jacksonville Marriott Hotel
كندا,"قنصلية لبنان لدى كندا, مونتريال",LEcole armenienne Sourp Hagop,"3400 Rue Nadon, Montreal, Quebec, H4J 1P6",58,LEcole armenienne Sourp Hagop - غرفة رقم 3
المملكة العربية السعودية,"سفارة لبنان لدى المملكة العربية السعودية, الرياض",السفارة اللبنانية في الرياض,مبنى السفارة اللبنانية في الرياض-  حي السفارات - شارع ابي بكر الكرخى,14,السفارة اللبنانية في الرياض - غرفة رقم 14
دولة قطر,"سفارة لبنان لدى دولة قطر, الدوحة",المدرسة اللبنانية في قطر,مبنى المدرسة اللبنانية - قطر- الدوحة - عنيزة رقم 63 - شارع الأمم المتحدة رقم 940 مبنى رقم 59,6,المدرسة اللبنانية في قطر - غرفة رقم 6
دولة الإمارات العربية المتحدة,"قنصلية لبنان العامة في دولة الإمارات العربية المتحدة, دبي",مركز انتخابي 1 - قنصلية لبنان العامة في دبي,مبنى القنصلية العامة في دبي- بر دبي - ام هرير 1 شارع رقم 3,35,مركز انتخابي 1 - قنصلية لبنان العامة في دبي - غرفة رقم 20
الولايات المتحدة الأميركية,"قنصلية لبنان العامة في الولايات المتحدة الأميركية, ديترويت",Consulate General of Lebanon,Consulate General of Lebanon 1000 Town Center Southfield Mi 48075 Suite2450 Ph:3137639964,25,Consulate General of Lebanon - غرفة رقم 1
الولايات المتحدة الأميركية,"قنصلية لبنان العامة في الولايات المتحدة الأميركية, لوس انجلس",Honorary Consulate of Lebanon in Arizona,"9515 West Camelback Road, Suite 100, Phoenix Az 85037",36,Honorary Consulate of Lebanon in Arizona
كندا,"سفارة لبنان لدى كندا, اوتاوا",Armenian Community Center,"45 Hallcrown Pl, Toronto, ON, M2J 4Y4",6,Armenian Community Center - غرفة رقم 6
مملكة هولاندا,"سفارة لبنان لدى مملكة هولاندا, لاهاي",السفارة اللبنانية في مملكة هولندا,"Frederikstraat 2, 2514LK, The Hague",1,السفارة اللبنانية في مملكة هولندا - غرفة رقم 1
مملكة اسبانيا,"سفارة لبنان لدى مملكة اسبانيا, مدريد",Centro Civic Joan Oliver ¨Pere Quart¨,"Calle Comandant Benitez, 6, 08028 de Barcelona",1,Centro Civic Joan Oliver ¨Pere Quart¨ - غرفة رقم 1
دولة قطر,"سفارة لبنان لدى دولة قطر, الدوحة",المدرسة اللبنانية في قطر,مبنى المدرسة اللبنانية - قطر- الدوحة - عنيزة رقم 63 - شارع الأمم المتحدة رقم 940 مبنى رقم 59,5,المدرسة اللبنانية في قطر - غرفة رقم 5
الولايات المتحدة الأميركية,"سفارة لبنان لدى الولايات المتحدة الأميركية, واشنطن",Lebanese Honorary Consulate - Tampa,"Honorary Consulate  of Lebanon - 7042 Benjamin Rd, Tampa, FL 33634",11,Lebanese Honorary Consulate - Tampa - غرفة رقم 1
الولايات المتحدة الأميركية,"سفارة لبنان لدى الولايات المتحدة الأميركية, واشنطن",Embassy of Lebanon,"Embassy Residence- 2841 McGill Terrace NW, Washington, DC, 20008",2,Embassy of Lebanon - غرفة رقم 1
رومانيا,"سفارة لبنان لدى رومانيا, بوخارست",السفارة اللبنانية في بوخارست,"18, Pitar Mos street, District 1, Bucharest - مبنى السفارة اللبنانية",2,السفارة اللبنانية في بوخارست - غرفة رقم 2
كندا,"قنصلية لبنان لدى كندا, مونتريال",LEcole armenienne Sourp Hagop,"3400 Rue Nadon, Montreal, Quebec, H4J 1P6",65,LEcole armenienne Sourp Hagop - غرفة رقم 10
استراليا,"قنصلية لبنان العامة في استراليا, ملبورن",مدرسة الراهبات الانطونيات Antonine College,"130 harding Street Coburg, VIC 3058",58,مدرسة الراهبات الانطونيات Antonine College - غرفة رقم 7
دولة الإمارات العربية المتحدة,"قنصلية لبنان العامة في دولة الإمارات العربية المتحدة, دبي",مركز انتخابي 1 - قنصلية لبنان العامة في دبي,مبنى القنصلية العامة في دبي- بر دبي - ام هرير 1 شارع رقم 3,26,مركز انتخابي 1 - قنصلية لبنان العامة في دبي - غرفة رقم 11
الولايات المتحدة الأميركية,"قنصلية لبنان العامة في الولايات المتحدة الأميركية, نيويورك",The Cedars Center,"65 Rockwood Street, Jamaica Plain, MA 02130",69,The Cedars Center - غرفة رقم 7
الولايات المتحدة الأميركية,"قنصلية لبنان العامة في الولايات المتحدة الأميركية, نيويورك",St. Sharbel Maronite Catholic Church,"7 Reeve Street, Somerset NJ 08873",60,St. Sharbel Maronite Catholic Church - غرفة رقم 1
جمهورية نيجيريا الإتحادية,"قنصلية لبنان العامة في جمهورية نيجيريا الإتحادية, لاغوس",القنصلية اللبنانية العامة في لاغوس,Lebanese General- Consulate 18 walter Carrington Crescent - Victoria Island Lagos - Nigeria,6,القنصلية اللبنانية العامة في لاغوس - غرفة رقم 2
جمهورية نيجيريا الإتحادية,"سفارة لبنان لدى جمهورية نيجيريا الإتحادية, ابوجا",السفارة اللبنانية في أبوجا,EMBASSY OF LEBANON- N°.4 CAPE TOWN STREET- WUSE ZONE 4- ABUJA- NIGERIA,1,السفارة اللبنانية في أبوجا
دولة الإمارات العربية المتحدة,مبنى دار السكن - بر دبي - ام هرير 1 شارع رقم 3,مركز انتخابي 2- دار السكن في قنصلية لبنان العامة دبي,مبنى القنصلية العامة في دبي- بر دبي - ام هرير 1 شارع رقم 3,38,مركز انتخابي 2- دار السكن في قنصلية لبنان العامة دبي غرفة رقم 3
المملكة العربية السعودية,"سفارة لبنان لدى المملكة العربية السعودية, الرياض",السفارة اللبنانية في الرياض,مبنى السفارة اللبنانية في الرياض-  حي السفارات - شارع ابي بكر الكرخى,19,السفارة اللبنانية في الرياض - غرفة رقم 19
الولايات المتحدة الأميركية,"سفارة لبنان لدى الولايات المتحدة الأميركية, واشنطن","Houston, TX","Hilton Houston Post Oak by the Galleria-2001 Post Oak Boulevard I Houston, TX 77056",8,"Houston, TX - غرفة رقم 2"
دولة الإمارات العربية المتحدة,"سفارة لبنان لدى دولة الإمارات العربية المتحدة, ابو ظبي",السفارة اللبنانية في أبو ظبي,مبنى السفارة اللبنانية في أبو ظبي- شارع رشيد بن سعيد المكتوم - منطقة السفارات-صندوق بريد 4023,6,السفارة اللبنانية في أبو ظبي - غرفة رقم 6
المملكة المتحدة لبريطانيا العظمة وإيرلندا الشمالية,"سفارة لبنان لدى المملكة المتحدة لبريطانيا العظمة وإيرلندا الشمالية, لندن",القنصلية العامة في لندن,"15 Palace Garden Mews, London, W8 4RB - مبنى القنصلية العام",8,القنصلية العامة في لندن - غرفة رقم 4
الولايات المتحدة الأميركية,"قنصلية لبنان العامة في الولايات المتحدة الأميركية, ديترويت",Honorary Consulate of Lebanon,Honory consulate of Lebanon 6607 pearl rs parma heights ohi 44130 Ph:2163073367,27,Honorary Consulate of Lebanon - غرفة رقم 1
المملكة العربية السعودية,"سفارة لبنان لدى المملكة العربية السعودية, الرياض",السفارة اللبنانية في الرياض,مبنى السفارة اللبنانية في الرياض-  حي السفارات - شارع ابي بكر الكرخى,6,السفارة اللبنانية في الرياض - غرفة رقم 6
استراليا,"سفارة لبنان لدى استراليا, كانبيرا",مكاتب القنصلية اللبنانية الفخرية السابقة في اديلايد,"459 Morphett Street, Adelaide, South Australia 5000",3,مكاتب القنصلية اللبنانية الفخرية السابقة في اديلايد
المملكة العربية السعودية,"سفارة لبنان لدى المملكة العربية السعودية, الرياض",السفارة اللبنانية في الرياض,مبنى السفارة اللبنانية في الرياض-  حي السفارات - شارع ابي بكر الكرخى,13,السفارة اللبنانية في الرياض - غرفة رقم 13
جمهورية كولومبيا,"سفارة لبنان لدى جمهورية كولومبيا, بوغوتا",السفارة اللبنانية في كولومبيا,دار السكن القديم - Calle 96 N°. 9a- 09,1,السفارة اللبنانية في كولومبيا
مملكة بلجيكا,"سفارة لبنان لدى مملكة بلجيكا, بروكسل",Ecole Communale de Saint Job,"Rue Jean Benaets 74, 1180 Uccle, Bruxelles",2,Ecole Communale de Saint Job - غرفة رقم 2
كندا,"سفارة لبنان لدى كندا, اوتاوا",St. Charbel Parish,"245 Donald St., Ottawa, ON, K1K 1N1",27,St. Charbel Parish - غرفة رقم 4
الولايات المتحدة الأميركية,"قنصلية لبنان العامة في الولايات المتحدة الأميركية, ديترويت",Consulate General of Lebanon,Consulate General of Lebanon 1000 Town Center Southfield Mi 48075 Suite2450 Ph:3137639964,26,Consulate General of Lebanon - غرفة رقم 2
دولة الإمارات العربية المتحدة,مبنى دار السكن - بر دبي - ام هرير 1 شارع رقم 3,مركز انتخابي 2- دار السكن في قنصلية لبنان العامة دبي,مبنى القنصلية العامة في دبي- بر دبي - ام هرير 1 شارع رقم 3,41,مركز انتخابي 2- دار السكن في قنصلية لبنان العامة دبي غرفة رقم 6
جمهورية نيجيريا الإتحادية,"قنصلية لبنان العامة في جمهورية نيجيريا الإتحادية, لاغوس",القنصلية اللبنانية العامة في لاغوس,Lebanese General- Consulate 18 walter Carrington Crescent - Victoria Island Lagos - Nigeria,5,القنصلية اللبنانية العامة في لاغوس - غرفة رقم 1
كندا,"قنصلية لبنان لدى كندا, مونتريال",LEcole armenienne Sourp Hagop,"3400 Rue Nadon, Montreal, Quebec, H4J 1P6",56,LEcole armenienne Sourp Hagop - غرفة رقم 1
النمسا,"سفارة لبنان لدى جمهورية النمسا, فيينا",السفارة اللبنانية في النمسا,"Embassy of Lebanon, Oppolzergasse 6/3, 1010 Wien, Austria",1,السفارة اللبنانية في النمسا
دولة الإمارات العربية المتحدة,"قنصلية لبنان العامة في دولة الإمارات العربية المتحدة, دبي",مركز انتخابي 1 - قنصلية لبنان العامة في دبي,مبنى القنصلية العامة في دبي- بر دبي - ام هرير 1 شارع رقم 3,22,مركز انتخابي 1 - قنصلية لبنان العامة في دبي - غرفة رقم 7
الولايات المتحدة الأميركية,"قنصلية لبنان العامة في الولايات المتحدة الأميركية, نيويورك",Pashalian Hall,"221 East 27th street, New York, NY 10016",53,Pashalian Hall - غرفة رقم 2
