COUNTRY_NAME_AR,MISSION_NAME_AR,STATION_NAME,STATION_ADDRESS,ROOM_SEQ,STATION_ROOM
دولة قطر,"سفارة لبنان لدى دولة قطر, الدوحة",المدرسة اللبنانية في قطر,مبنى المدرسة اللبنانية - قطر- الدوحة - عنيزة رقم 63 - شارع الأمم المتحدة رقم 940 مبنى رقم 59,6,المدرسة اللبنانية في قطر - غرفة رقم 6
استراليا,"قنصلية لبنان العامة في استراليا, سيدني",الرابطة الدرزية الاسترالية,"259-261 Guildford Road, Guildford NSW 2161",5,الرابطة الدرزية الاسترالية - غرفة رقم 1
جمهورية نيجيريا الإتحادية,"سفارة لبنان لدى جمهورية نيجيريا الإتحادية, ابوجا",السفارة اللبنانية في أبوجا,EMBASSY OF LEBANON- N°.4 CAPE TOWN STREET- WUSE ZONE 4- ABUJA- NIGERIA,1,السفارة اللبنانية في أبوجا
دولة الإمارات العربية المتحدة,مبنى دار السكن - بر دبي - ام هرير 1 شارع رقم 3,مركز انتخابي 2- دار السكن في قنصلية لبنان العامة دبي,مبنى القنصلية العامة في دبي- بر دبي - ام هرير 1 شارع رقم 3,43,مركز انتخابي 2- دار السكن في قنصلية لبنان العامة دبي غرفة رقم 8
دولة الإمارات العربية المتحدة,مبنى دار السكن - بر دبي - ام هرير 1 شارع رقم 3,مركز انتخابي 2- دار السكن في قنصلية لبنان العامة دبي,مبنى القنصلية العامة في دبي- بر دبي - ام هرير 1 شارع رقم 3,36,مركز انتخابي 2- دار السكن في قنصلية لبنان العامة دبي غرفة رقم 1
استراليا,"قنصلية لبنان العامة في استراليا, سيدني",معهد العائلة المقدسة,"23-25 Alice Street, Harris Park NSW 2150",47,معهد العائلة المقدسة - غرفة رقم 4
مملكة هولاندا,"سفارة لبنان لدى مملكة هولاندا, لاهاي",السفارة اللبنانية في مملكة هولندا,"Frederikstraat 2, 2514LK, The Hague",1,السفارة اللبنانية في مملكة هولندا - غرفة رقم 1
دولة الإمارات العربية المتحدة,"سفارة لبنان لدى دولة الإمارات العربية المتحدة, ابو ظبي",السفارة اللبنانية في أبو ظبي,مبنى السفارة اللبنانية في أبو ظبي- شارع رشيد بن سعيد المكتوم - منطقة السفارات-صندوق بريد 4023,13,السفارة اللبنانية في أبو ظبي - غرفة رقم 13
جمهورية نيجيريا الإتحادية,"قنصلية لبنان العامة في جمهورية نيجيريا الإتحادية, لاغوس",القنصلية اللبنانية العامة في لاغوس,Lebanese General- Consulate 18 walter Carrington Crescent - Victoria Island Lagos - Nigeria,5,القنصلية اللبنانية العامة في لاغوس - غرفة رقم 1
جمهورية نيجيريا الإتحادية,"قنصلية لبنان العامة في جمهورية نيجيريا الإتحادية, لاغوس",القنصلية اللبنانية العامة في لاغوس,Lebanese General- Consulate 18 walter Carrington Crescent - Victoria Island Lagos - Nigeria,7,القنصلية اللبنانية العامة في لاغوس - غرفة رقم 3
الجمهورية الإيطالية,"قنصلية لبنان العامة في الجمهورية الإيطالية, ميلانو",Centro Anziani Ricordi,"Centro Anziani Ricordi- Via Ruggero Boscovich, 42",5,Centro Anziani Ricordi - غرفة رقم 3
دولة قطر,"سفارة لبنان لدى دولة قطر, الدوحة",المدرسة اللبنانية في قطر,مبنى المدرسة اللبنانية - قطر- الدوحة - عنيزة رقم 63 - شارع الأمم المتحدة رقم 940 مبنى رقم 59,17,المدرسة اللبنانية في قطر - غرفة رقم 17
المملكة العربية السعودية,"قنصلية لبنان العامة في المملكة العربية السعودية, جدة",القنصلية العامة في جدة,3767 مبنى القنصلية العامة في جدة- شارع إبراهيم العنقري- حي المحمدية- جدة 23617,28,القنصلية العامة في جدة - غرفة رقم 8
المملكة الأردنية الهاشمية,"سفارة لبنان لدى المملكة الأردنية الهاشمية, عمان",السفارة اللبنانية في الأردن,مبنى السفارة اللبنانية في الأردن- عبدون - شارع محمد علي بدير - بناية رقم 17,1,السفارة اللبنانية في الأردن - غرفة رقم 1
دولة الكويت,"سفارة لبنان لدى دولة الكويت, الكويت",السفارة اللبنانية في الكويت,مبنى السفارة اللبنانية في الكويت - الدعية - منطقة السفارات - قطعة 5 - شارع اليمن - مبنى رقم 6,11,السفارة اللبنانية في الكويت - غرفة رقم 11
المملكة المتحدة لبريطانيا العظمة وإيرلندا الشمالية,"سفارة لبنان لدى المملكة المتحدة لبريطانيا العظمة وإيرلندا الشمالية, لندن",القنصلية العامة في لندن,"15 Palace Garden Mews, London, W8 4RB - مبنى القنصلية العام",11,القنصلية العامة في لندن - غرفة رقم 7
كندا,"سفارة لبنان لدى كندا, اوتاوا",St. Elias Cathedral,"700 Ridgewood Av., Ottawa, ON, K1V 6N1",32,St. Elias Cathedral - غرفة رقم 3
الولايات المتحدة الأميركية,"قنصلية لبنان العامة في الولايات المتحدة الأميركية, نيويورك",Pashalian Hall,"221 East 27th street, New York, NY 10016",52,Pashalian Hall - غرفة رقم 1
دولة الإمارات العربية المتحدة,"قنصلية لبنان العامة في دولة الإمارات العربية المتحدة, دبي",مركز انتخابي 1 - قنصلية لبنان العامة في دبي,مبنى القنصلية العامة في دبي- بر دبي - ام هرير 1 شارع رقم 3,33,مركز انتخابي 1 - قنصلية لبنان العامة في دبي - غرفة رقم 18
المملكة العربية السعودية,"سفارة لبنان لدى المملكة العربية السعودية, الرياض",السفارة اللبنانية في الرياض,مبنى السفارة اللبنانية في الرياض-  حي السفارات - شارع ابي بكر الكرخى,11,السفارة اللبنانية في الرياض - غرفة رقم 11
الولايات المتحدة الأميركية,"قنصلية لبنان العامة في الولايات المتحدة الأميركية, لوس انجلس",Honorary Consulate of Lebanon in Arizona,"9515 West Camelback Road, Suite 100, Phoenix Az 85037",36,Honorary Consulate of Lebanon in Arizona
المملكة المتحدة لبريطانيا العظمة وإيرلندا الشمالية,"سفارة لبنان لدى المملكة المتحدة لبريطانيا العظمة وإيرلندا الشمالية, لندن",القنصلية العامة في لندن,"15 Palace Garden Mews, London, W8 4RB - مبنى القنصلية العام",6,القنصلية العامة في لندن - غرفة رقم 2
المكسيك,"سفارة لبنان لدى المكسيك, مكسيكو",السفارة اللبناينة في المكسيك,"Edificio Embajada del Libano, JULIO VERNE N. 8, COL POLANCO, MIGUEL HIDALGO C.P. 11560, CDMX",1,السفارة اللبناينة في المكسيك - غرفة رقم 1
جمهورية قبرص,"سفارة لبنان لدى جمهورية قبرص, نيقوزيا",St Raphael Resort Limassol,"Amathountos Avenue 502, Pyrgos 4520 Limassol Cyprus",1,St Raphael Resort Limassol
دولة الإمارات العربية المتحدة,"قنصلية لبنان العامة في دولة الإمارات العربية المتحدة, دبي",مركز انتخابي 1 - قنصلية لبنان العامة في دبي,مبنى القنصلية العامة في دبي- بر دبي - ام هرير 1 شارع رقم 3,17,مركز انتخابي 1 - قنصلية لبنان العامة في دبي - غرفة رقم 2
جمهورية السنغال,"سفارة لبنان لدى جمهورية السنغال, دكار",دار سكن رئيس البعثة,"1, rue Aime Cesaire, Fann residence , Dakar - مبنى دار سكن رئيس البعثة",2,دار سكن رئيس البعثة - غرفة رقم 2
مملكة اسبانيا,"سفارة لبنان لدى مملكة اسبانيا, مدريد",Centro Civic Joan Oliver ¨Pere Quart¨,"Calle Comandant Benitez, 6, 08028 de Barcelona",2,Centro Civic Joan Oliver ¨Pere Quart¨ - غرفة رقم 2
مملكة اسبانيا,"سفارة لبنان لدى مملكة اسبانيا, مدريد",Centro Civic Joan Oliver ¨Pere Quart¨,"Calle Comandant Benitez, 6, 08028 de Barcelona",1,Centro Civic Joan Oliver ¨Pere Quart¨ - غرفة رقم 1
المملكة العربية السعودية,"سفارة لبنان لدى المملكة العربية السعودية, الرياض",السفارة اللبنانية في الرياض,مبنى السفارة اللبنانية في الرياض-  حي السفارات - شارع ابي بكر الكرخى,17,السفارة اللبنانية في الرياض - غرفة رقم 17
المملكة العربية السعودية,"سفارة لبنان لدى المملكة العربية السعودية, الرياض",السفارة اللبنانية في الرياض,مبنى السفارة اللبنانية في الرياض-  حي السفارات - شارع ابي بكر الكرخى,10,السفارة اللبنانية في الرياض - غرفة رقم 10
استراليا,"قنصلية لبنان العامة في استراليا, سيدني",مطرانية الكاثوليك الملكيين,80 Waterloo Road Greenacre NSW 2190,39,مطرانية الكاثوليك الملكيين - غرفة رقم 1
جمهورية غانا,"سفارة لبنان لدى جمهورية غانا, أكرا",السفارة اللبنانية في أكرا,"Embassy of Lebanon P.O. Box 562, Accra H/No. F864/1 Cantonment Road",1,السفارة اللبنانية في أكرا - غرفة رقم 1
سلطنة عمان,"سفارة لبنان لدى سلطنة عمان, مسقط",المدرسة العُمانية العالميةInternational School of Oman- ISO,مبنى المدرسة العمانية العالمية- مسقط- بوشر- شارع المها- قرب مركز بوشر الصحي، رقم المبنى 1/21,3,المدرسة العُمانية العالميةInternational School of Oman- ISO - غرفة رقم 3
الدانمارك,"سفارة لبنان لدى مملكة السويد, ستوكهولم",CONFERENCE HALL,"Vibevej 25-27, 2400 Kobenhavn NV, Denmark",1,CONFERENCE HALL
جمهورية غانا,"سفارة لبنان لدى جمهورية غانا, أكرا",السفارة اللبنانية في أكرا,"Embassy of Lebanon P.O. Box 562, Accra H/No. F864/1 Cantonment Road",2,السفارة اللبنانية في أكرا - غرفة رقم 2
كندا,"سفارة لبنان لدى كندا, اوتاوا",St Charbel Antonin Maronite Catholic Church,"5700 Outer Dr., Windsor, ON, N9A 6J3",21,St Charbel Antonin Maronite Catholic Church - غرفة رقم 1
استراليا,"قنصلية لبنان العامة في استراليا, سيدني",كنيسة مار نقولا,8 Henry Street Punchbowl NSW 2196,23,كنيسة مار نقولا - غرفة رقم 3
جمهورية فنزويلا البوليفارية,"سفارة لبنان لدى جمهورية فنزويلا البوليفارية, كراكاس",السفارة اللبنانية في  جمهورية فنزويلا البوليفارية,"Prolongacion Avenida Parima, Edificio Embajada del Libano, Colinas de Bello Monte, Distrito Capital 1080",2,السفارة اللبنانية في  جمهورية فنزويلا البوليفارية - غرفة رقم 2
استراليا,"قنصلية لبنان العامة في استراليا, ملبورن",مدرسة الراهبات الانطونيات Antonine College,"130 harding Street Coburg, VIC 3058",58,مدرسة الراهبات الانطونيات Antonine College - غرفة رقم 7
دولة الإمارات العربية المتحدة,"سفارة لبنان لدى دولة الإمارات العربية المتحدة, ابو ظبي",السفارة اللبنانية في أبو ظبي,مبنى السفارة اللبنانية في أبو ظبي- شارع رشيد بن سعيد المكتوم - منطقة السفارات-صندوق بريد 4023,3,السفارة اللبنانية في أبو ظبي - غرفة رقم 3
الولايات المتحدة الأميركية,"قنصلية لبنان العامة في الولايات المتحدة الأميركية, لوس انجلس",HOUSE OF LEBANON,"4800 Wilshire Blvd., Los Angeles, Ca 90005",41,HOUSE OF LEBANON - غرفة رقم 2
الجمهورية العربية السورية,"سفارة لبنان لدى الجمهورية العربية السورية, دمشق",السفارة اللبنانية في دمشق,مبنى السفارة اللبنانية في دمشق- منطقة المزة -فيلات غربية-شارع الخساء- طابق أرضي.,2,السفارة اللبنانية في دمشق - غرفة رقم 2
كندا,"سفارة لبنان لدى كندا, اوتاوا",Evergreen Cultural Center,"1205 Pinetree Way, Coquitlam, BC, V3B 7Y3",17,Evergreen Cultural Center - غرفة رقم 2
جمهورية نيجيريا الإتحادية,"سفارة لبنان لدى جمهورية نيجيريا الإتحادية, ابوجا",المدرسة اللبنانية التابعة للقنصلية الفخرية في كانو,"LEBANESE CONSULATE INTERNATIONAL SCHOOL, 47 BOMPAI ROAD, P.O. BOX 2884, KANO, NIGERIA",2,المدرسة اللبنانية التابعة للقنصلية الفخرية في كانو - غرفة رقم 1
مملكة بلجيكا,"سفارة لبنان لدى مملكة بلجيكا, بروكسل",Ecole Communale de Saint Job,"Rue Jean Benaets 74, 1180 Uccle, Bruxelles",6,Ecole Communale de Saint Job - غرفة رقم 6
الولايات المتحدة الأميركية,"قنصلية لبنان العامة في الولايات المتحدة الأميركية, ديترويت",Consulate General of Lebanon,Consulate General of Lebanon 1000 Town Center Southfield Mi 48075 Suite2450 Ph:3137639964,25,Consulate General of Lebanon - غرفة رقم 1
المملكة العربية السعودية,"سفارة لبنان لدى المملكة العربية السعودية, الرياض",السفارة اللبنانية في الرياض,مبنى السفارة اللبنانية في الرياض-  حي السفارات - شارع ابي بكر الكرخى,15,السفارة اللبنانية في الرياض - غرفة رقم 15
دولة الإمارات العربية المتحدة,مبنى دار السكن - بر دبي - ام هرير 1 شارع رقم 3,مركز انتخابي 2- دار السكن في قنصلية لبنان العامة دبي,مبنى القنصلية العامة في دبي- بر دبي - ام هرير 1 شارع رقم 3,46,مركز انتخابي 2- دار السكن في قنصلية لبنان العامة دبي غرفة رقم 11
دولة قطر,"سفارة لبنان لدى دولة قطر, الدوحة",المدرسة اللبنانية في قطر,مبنى المدرسة اللبنانية - قطر- الدوحة - عنيزة رقم 63 - شارع الأمم المتحدة رقم 940 مبنى رقم 59,11,المدرسة اللبنانية في قطر - غرفة رقم 11
دولة الكويت,"سفارة لبنان لدى دولة الكويت, الكويت",السفارة اللبنانية في الكويت,مبنى السفارة اللبنانية في الكويت - الدعية - منطقة السفارات - قطعة 5 - شارع اليمن - مبنى رقم 6,13,السفارة اللبنانية في الكويت - غرفة رقم 13
دولة الإمارات العربية المتحدة,"قنصلية لبنان العامة في دولة الإمارات العربية المتحدة, دبي",مركز انتخابي 1 - قنصلية لبنان العامة في دبي,مبنى القنصلية العامة في دبي- بر دبي - ام هرير 1 شارع رقم 3,31,مركز انتخابي 1 - قنصلية لبنان العامة في دبي - غرفة رقم 16
دولة الإمارات العربية المتحدة,مبنى دار السكن - بر دبي - ام هرير 1 شارع رقم 3,مركز انتخابي 2- دار السكن في قنصلية لبنان العامة دبي,مبنى القنصلية العامة في دبي- بر دبي - ام هرير 1 شارع رقم 3,48,مركز انتخابي 2- دار السكن في قنصلية لبنان العامة دبي غرفة رقم 13
كندا,"سفارة لبنان لدى كندا, اوتاوا",St. Charbel Parish,"245 Donald St., Ottawa, ON, K1K 1N1",28,St. Charbel Parish - غرفة رقم 5
كندا,"سفارة لبنان لدى كندا, اوتاوا",St Charbel Antonin Maronite Catholic Church,"5700 Outer Dr., Windsor, ON, N9A 6J3",22,St Charbel Antonin Maronite Catholic Church - غرفة رقم 2
الولايات المتحدة الأميركية,"قنصلية لبنان العامة في الولايات المتحدة الأميركية, نيويورك",The Cedars Center,"65 Rockwood Street, Jamaica Plain, MA 02130",68,The Cedars Center - غرفة رقم 6
دولة الإمارات العربية المتحدة,"قنصلية لبنان العامة في دولة الإمارات العربية المتحدة, دبي",مركز انتخابي 1 - قنصلية لبنان العامة في دبي,مبنى القنصلية العامة في دبي- بر دبي - ام هرير 1 شارع رقم 3,20,مركز انتخابي 1 - قنصلية لبنان العامة في دبي - غرفة رقم 5
استراليا,"قنصلية لبنان العامة في استراليا, ملبورن",مدرسة الراهبات الانطونيات Antonine College,"130 harding Street Coburg, VIC 3058",56,مدرسة الراهبات الانطونيات Antonine College - غرفة رقم 5
استراليا,"قنصلية لبنان العامة في استراليا, سيدني",مدرسة مار مارون,"194 Wardell Road, Marrickville NSW 2204",33,مدرسة مار مارون - غرفة رقم 1
مملكة هولاندا,"سفارة لبنان لدى مملكة هولاندا, لاهاي",السفارة اللبنانية في مملكة هولندا,"Frederikstraat 2, 2514LK, The Hague",3,السفارة اللبنانية في مملكة هولندا - غرفة رقم 3
المملكة العربية السعودية,"قنصلية لبنان العامة في المملكة العربية السعودية, جدة",القنصلية العامة في جدة,3767 مبنى القنصلية العامة في جدة- شارع إبراهيم العنقري- حي المحمدية- جدة 23617,30,القنصلية العامة في جدة - غرفة رقم 10
الجمهورية الإيطالية,"سفارة لبنان لدى الجمهورية الإيطالية, روما",السفارة اللبنانية في روما,"Embassy of Lebanon- Via glacomo carissimi,38 Roma 00198 Italia",2,السفارة اللبنانية في روما - غرفة رقم 2
دولة الإمارات العربية المتحدة,"قنصلية لبنان العامة في دولة الإمارات العربية المتحدة, دبي",مركز انتخابي 1 - قنصلية لبنان العامة في دبي,مبنى القنصلية العامة في دبي- بر دبي - ام هرير 1 شارع رقم 3,24,مركز انتخابي 1 - قنصلية لبنان العامة في دبي - غرفة رقم 9
رومانيا,"سفارة لبنان لدى رومانيا, بوخارست",السفارة اللبنانية في بوخارست,"18, Pitar Mos street, District 1, Bucharest - مبنى السفارة اللبنانية",2,السفارة اللبنانية في بوخارست - غرفة رقم 2
المملكة العربية السعودية,"قنصلية لبنان العامة في المملكة العربية السعودية, جدة",القنصلية العامة في جدة,3767 مبنى القنصلية العامة في جدة- شارع إبراهيم العنقري- حي المحمدية- جدة 23617,25,القنصلية العامة في جدة - غرفة رقم 5
كندا,"سفارة لبنان لدى كندا, اوتاوا",St. Charbel Parish,"245 Donald St., Ottawa, ON, K1K 1N1",29,St. Charbel Parish - غرفة رقم 6
المملكة العربية السعودية,"سفارة لبنان لدى المملكة العربية السعودية, الرياض",السفارة اللبنانية في الرياض,مبنى السفارة اللبنانية في الرياض-  حي السفارات - شارع ابي بكر الكرخى,12,السفارة اللبنانية في الرياض - غرفة رقم 12
كندا,"سفارة لبنان لدى كندا, اوتاوا",Cedar Event Center (Our Lady of Lebanon Church),"111 Clayton Park Dr., Halifax, NS, B3M 1M3",15,Cedar Event Center (Our Lady of Lebanon Church) - غرفة رقم 2
الولايات المتحدة الأميركية,"سفارة لبنان لدى الولايات المتحدة الأميركية, واشنطن",Embassy of Lebanon,"Embassy Residence- 2841 McGill Terrace NW, Washington, DC, 20008",6,Embassy of Lebanon - غرفة رقم 5
الولايات المتحدة الأميركية,"سفارة لبنان لدى الولايات المتحدة الأميركية, واشنطن",Lebanese Honorary Consulate - Tampa,"Honorary Consulate  of Lebanon - 7042 Benjamin Rd, Tampa, FL 33634",12,Lebanese Honorary Consulate - Tampa - غرفة رقم 2
الولايات المتحدة الأميركية,"سفارة لبنان لدى الولايات المتحدة الأميركية, واشنطن",Our Lady-Lebanon Catholic Church,"Our Lady-Lebanon Catholic Church 2055 Coral Way, Miami, FL 33145",19,Our Lady-Lebanon Catholic Church - غرفة رقم 2
الولايات المتحدة الأميركية,"سفارة لبنان لدى الولايات المتحدة الأميركية, واشنطن","Houston, TX","Hilton Houston Post Oak by the Galleria-2001 Post Oak Boulevard I Houston, TX 77056",9,"Houston, TX - غرفة رقم 3"
جمهورية سيراليون,"سفارة لبنان لدى جمهورية سيراليون, فريتاون",السفارة اللبنانية في سيراليون,"Embassy of Lebanon- 55, Spur road, Freetown - Sierra Leone, West Africa",2,السفارة اللبنانية في سيراليون - غرفة رقم 2
دولة الكويت,"سفارة لبنان لدى دولة الكويت, الكويت",السفارة اللبنانية في الكويت,مبنى السفارة اللبنانية في الكويت - الدعية - منطقة السفارات - قطعة 5 - شارع اليمن - مبنى رقم 6,1,السفارة اللبنانية في الكويت - غرفة رقم 1
المكسيك,"سفارة لبنان لدى المكسيك, مكسيكو",السفارة اللبناينة في المكسيك,"Edificio Embajada del Libano, JULIO VERNE N. 8, COL POLANCO, MIGUEL HIDALGO C.P. 11560, CDMX",2,السفارة اللبناينة في المكسيك - غرفة رقم 2
